2026-05-10 23:58:43,124 [INFO] === UmaEdge Model Training ===
2026-05-10 23:58:43,124 [INFO] 🚫 ODDS-FREE MODE — excluding all odds-derived features
2026-05-10 23:58:43,124 [INFO] No cache found. Building features from scratch...
2026-05-10 23:58:43,124 [INFO] Loading race data...
2026-05-10 23:59:46,334 [INFO] Loaded 196764 entries across 14300 races
2026-05-10 23:59:46,353 [INFO] Loading full history for rolling features...
2026-05-11 00:00:22,786 [INFO] Pre-indexing history for fast lookups...
2026-05-11 00:00:23,480 [INFO] Indexed: 36660 horses, 822 jockeys, 777 trainers, 10 courses
2026-05-11 00:00:23,480 [INFO] Building features for 196764 entries...
2026-05-11 00:01:09,647 [INFO] Pre-building point-in-time speed baseline index...
2026-05-11 00:01:10,008 [INFO] Speed baseline index built: 320 (course, dist, going) combos
2026-05-11 02:29:09,935 [INFO]   [185,000/196,764] 94% | 21 entries/s | ETA 568s
2026-05-11 02:29:55,204 [INFO]   [186,000/196,764] 95% | 21 entries/s | ETA 519s
2026-05-11 02:30:44,168 [INFO]   [187,000/196,764] 95% | 21 entries/s | ETA 471s
2026-05-11 02:31:32,987 [INFO]   [188,000/196,764] 96% | 21 entries/s | ETA 423s
2026-05-11 02:32:17,659 [INFO]   [189,000/196,764] 96% | 21 entries/s | ETA 374s
2026-05-11 02:33:03,197 [INFO]   [190,000/196,764] 97% | 21 entries/s | ETA 326s
2026-05-11 02:33:48,882 [INFO]   [191,000/196,764] 97% | 21 entries/s | ETA 278s
2026-05-11 02:34:35,530 [INFO]   [192,000/196,764] 98% | 21 entries/s | ETA 230s
2026-05-11 02:35:21,172 [INFO]   [193,000/196,764] 98% | 21 entries/s | ETA 181s
2026-05-11 02:36:07,081 [INFO]   [194,000/196,764] 99% | 21 entries/s | ETA 133s
2026-05-11 02:36:52,617 [INFO]   [195,000/196,764] 99% | 21 entries/s | ETA 85s
2026-05-11 02:37:40,244 [INFO]   [196,000/196,764] 100% | 21 entries/s | ETA 37s
2026-05-11 02:38:23,575 [INFO] ✅ Built 196764 feature vectors with 277 columns in 9580.5s (21 entries/s)
2026-05-11 02:38:24,314 [INFO] Excluded 16 features: ['odds_win', 'log_odds', 'popularity', 'odds_win_z', 'log_odds_z', 'popularity_z', 'is_longshot', 'is_extreme_longshot', 'is_longshot_z', 'is_extreme_longshot_z', 'odds_rank', 'odds_ratio_to_fav', 'odds_deviation', 'odds_rank_z', 'odds_ratio_to_fav_z', 'odds_deviation_z']
2026-05-11 02:38:24,350 [INFO] Using 250 features
2026-05-11 02:38:24,545 [INFO] Train: 156789 entries (11440 races)
2026-05-11 02:38:24,545 [INFO] Val:   39975 entries (2860 races)
2026-05-11 02:38:24,545 [INFO] Win rate — train: 0.073, val: 0.070
2026-05-11 02:38:24,561 [INFO] 
--- Training LightGBM ---
2026-05-11 02:38:34,664 [INFO] LightGBM — LogLoss: 0.2209, AUC: 0.7713, Brier: 0.0598
2026-05-11 02:38:34,664 [INFO] Top 15 features (gain):
2026-05-11 02:38:34,664 [INFO]   last3_avg_beaten_pct_z: 9756
2026-05-11 02:38:34,664 [INFO]   last10_avg_finish_z: 7927
2026-05-11 02:38:34,664 [INFO]   jockey_course_place_pct_z: 7120
2026-05-11 02:38:34,664 [INFO]   last5_avg_beaten_pct_z: 6510
2026-05-11 02:38:34,664 [INFO]   trainer_offspring_avg_finish_z: 5812
2026-05-11 02:38:34,664 [INFO]   trainer_offspring_avg_finish: 5194
2026-05-11 02:38:34,664 [INFO]   last_finish_pos: 5165
2026-05-11 02:38:34,664 [INFO]   last5_avg_finish_z: 4927
2026-05-11 02:38:34,664 [INFO]   last_finish_pos_z: 4437
2026-05-11 02:38:34,664 [INFO]   pace_place_prob: 4325
2026-05-11 02:38:34,664 [INFO]   field_size: 4310
2026-05-11 02:38:34,664 [INFO]   jockey_course_place_pct: 4010
2026-05-11 02:38:34,664 [INFO]   best_class_rank_z: 3659
2026-05-11 02:38:34,664 [INFO]   last10_avg_beaten_pct_z: 3579
2026-05-11 02:38:34,664 [INFO]   speed_figure_last_z: 3426
2026-05-11 02:38:34,668 [INFO] 
--- Training XGBoost ---
Training until validation scores don't improve for 50 rounds
[100]	valid_0's binary_logloss: 0.221484
[200]	valid_0's binary_logloss: 0.22086
Early stopping, best iteration is:
[200]	valid_0's binary_logloss: 0.22086
[0]	val-logloss:0.25160
[100]	val-logloss:0.22150
[200]	val-logloss:0.22075
[300]	val-logloss:0.22047
[400]	val-logloss:0.22050
2026-05-11 02:38:42,375 [INFO] XGBoost  — LogLoss: 0.2205, AUC: 0.7727, Brier: 0.0597
2026-05-11 02:38:42,392 [INFO] 
--- Ensemble ---
2026-05-11 02:38:42,401 [INFO] Ensemble — LogLoss: 0.2199, AUC: 0.7742, Brier: 0.0596
2026-05-11 02:38:42,402 [INFO] Calibration (predicted vs actual):
2026-05-11 02:38:42,402 [INFO]   P=0.04 → actual=0.040 (n=32271) ██
2026-05-11 02:38:42,402 [INFO]   P=0.14 → actual=0.151 (n=5566) ███████
2026-05-11 02:38:42,402 [INFO]   P=0.24 → actual=0.275 (n=1489) █████████████
2026-05-11 02:38:42,402 [INFO]   P=0.34 → actual=0.302 (n= 447) ███████████████
2026-05-11 02:38:42,402 [INFO]   P=0.44 → actual=0.548 (n= 157) ███████████████████████████
2026-05-11 02:38:42,402 [INFO]   P=0.54 → actual=0.541 (n=  37) ███████████████████████████
2026-05-11 02:38:42,402 [INFO]   P=0.63 → actual=0.500 (n=   8) █████████████████████████
2026-05-11 02:38:42,419 [INFO] 💾 Models saved to /Users/ryfei.wang/Documents/horsebet/models/saved/odds_free
2026-05-11 02:38:42,419 [INFO] 
✅ Training complete. Model version: odds_free
